"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @FIRDANIZA2","@FIRDANIZA2 follows"
drpriono1,"Juru Wabah 🇮🇩",Indonesia,"22,225",301,"23 Aug 2020 02:40:51","3,083","05 Jul 2021 07:57:41","Juru Wabah. Dahulu @drpriono, Pandu Riono. PhD (Epidemiology)-UCLA; MPH(Biostatistics) Univ. of Pittsburgh; Dr (FKUI). Bekerja di FKMUI",https://fkm.ui.ac.id,95,3.5,7.5,72.6,,
jack,jack,,"5,564,633","4,768","21 Mar 2006 20:50:14","27,625","05 Jul 2021 18:47:16",#bitcoin,,36,48,12,91.9,,
FaisalBasri,"Faisal Basri",Jakarta,"569,899",127,"06 May 2009 10:55:44","21,477","04 Jul 2021 12:06:26","Kesadaran Nurani dan Akal Sehat. https://t.co/biOSaUJTyb",http://faisalbasri.com,26.5,49.5,3,83.3,,
Nicho_Silalahi,"Nicho Silalahi, YouTube : Migran TV",Indonesia,"24,175","1,374","19 Sep 2009 10:11:23","13,180","03 Jul 2021 14:04:07","Kafir Murtad Yang Berjuang Memanusiakan Manusia. Pujilah Bila Kinerja Pemerintah Itu Baik, Tapi Keraslah Mengkritik Jika Kinerja Pemerintah Itu Buruk.",https://m.youtube.com/channel/UCS0hJgIXAxg_tvxkYIy0g4g,19.5,9.5,79.5,80.3,,
IndoLegalNews,"Hukumonline English",Indonesia,"4,065",17,"01 Jul 2010 05:12:02","2,515","21 Dec 2015 06:10:19","Hukumonline English is the premier Indonesian legal Information portal, which includes comprehensive news and analyses.",http://en.hukumonline.com,100,0,0,13.8,,
GayusLumbuun,"Gayus Lumbuun","Jakarta, Indonesia",990,66,"14 Jun 2011 16:27:52",23,"30 Nov 2016 12:50:42","Hakim Agung Republik Indonesia",,0,0,0,1,,
YahyaWaloni,"Yahya Waloni","I am Listening To Muhammad","7,099",0,"19 Apr 2012 05:59:02","3,639","13 May 2017 11:52:02","Jika Taurat Adalah Perjanjian Lama, Dan Bibel Adalah Perjanjian Baru, Maka Alquran Adalah Perjanjian Terakhir (Final Testament).",,33.9,56.3,1,39,,
emiliaclarke,"Emilia Clarke","Los Angeles","1,229,805",64,"11 Apr 2013 22:14:23",2,"30 Apr 2013 20:25:04",Actress.,,0,0,0,57,,
andikosong70,"andi mohamad rasul",Indonesia,254,339,"03 Jan 2014 07:56:23","2,757","20 May 2021 02:55:10","Berjuang memerdekakan diri,keluarga dan segenap saudara se Tanah air untuk Melawan Neoliberalisme",,0,0,0,19.2,,
119hc,"حمود - حائل","حائل, المملكة العربية السعودية","114,501","102,424","25 Oct 2014 11:58:12","293,603","05 Jul 2021 20:14:05","﮼ ﮼حساب 4️⃣ خاص للمداخلات،الردود،الرتويت في منشن •حسابات• #حمود_اللحيدان -دعم للمتابعين المتفاعلين👏🏼 مـع حساباتنا • @ha2936",,1,94.9,4.5,71.8,,
TanPanama555,TanPanama,"Pulau Rakyat, Indonesia",35,26,"04 Mar 2016 01:56:42",495,"25 Nov 2016 09:03:32","saat ketidakadilan dijadikan hukum, maka perlawanan sudah menjadi kewajiban tanpa basa-basi.",,0,0,0,1,,
EmineErdogan,"Emine Erdoğan","Ankara, Türkiye","1,000,204",4,"05 Oct 2017 09:14:47",952,"02 Jul 2021 15:14:12","Sayın Emine Erdoğan Hanımefendi'nin resmî hesabıdır | The official account of HE Emine Erdoğan",http://tccb.gov.tr/emineerdogan/,93,5.5,0.5,81,,
