"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @FIRDANIZA2","@FIRDANIZA2 follows"
BABYMETAL_JAPAN,BABYMETAL,JAPAN,"389,801",0,"15 Nov 2011 17:21:41","4,377","03 Jul 2021 15:00:02","BABYMETAL結成10周年「10 BABYMETAL YEARS」⚡️ 日本武道館10公演「10 BABYMETAL BUDOKAN」待望の映像化＆音源化！ METAL RESISTANCE最終章の伝説のライブを映像作品とLIVE ALBUMで体感しよう！ #BABYMETAL #BABYMETAL_BUDOKAN",https://www.toysfactory.co.jp/artist/babymetal/10babymetalbudokan/,82,17.5,0,81.4,,
Pinandita,"Satria Pinandita",jakarta,446,408,"30 Apr 2007 03:15:48","3,034","25 May 2021 02:55:06","geek !",,0,0,0,19.6,,
firdzaradiany,"Beruang Kutub","Jakarta. Pelabuhan Mimpi.","15,727","2,714","27 Feb 2009 17:31:22","23,711","26 Jun 2021 00:04:08","Generalis. Marcom. Data. Tulisan. Satire untuk mengaktifkan imajinasi.",,55.3,8.5,34.2,72.6,,
jsamodra,J,Nowhere,"2,680","1,298","04 May 2009 06:02:57","61,761","03 Jul 2021 13:21:59","Diplodad. @FletcherSchool & @HIUGM alum. Tweets are personal.",http://jsamodra.wordpress.com,33.3,48,13.6,61.3,,
AlghifAqsa,"Human Rights",Indonesia,"13,713","3,626","19 Jun 2009 04:08:52","22,384","03 Jul 2021 06:18:43","Public Interest Lawyer|advokat| Cello lover|Silat|Footballer| Barajo ka nan bana.",http://alghif.wordpress.com,24.6,50.8,25.1,75,,
aan__,kusumandaru,,"164,007",434,"27 Jul 2009 14:51:35","56,301","03 Jul 2021 09:06:02","I have an allergy to Rambutan. Just giving you a hint if you wanna kill me.",http://www.instagram.com/kusumandaru,39.5,0,54,81.6,,
nurultryani,"Kak Nuy","Jakarta Capital Region","3,410",882,"04 Sep 2009 11:59:39","141,200","26 Jun 2021 16:38:41","see you when i see you",,34,21,59.5,56.7,,
duniamanji,"Anji MANJI -",Indonesia,"887,860","1,432","17 Oct 2009 02:55:43","106,342","13 May 2021 00:56:23","Producer • Musician • Content Creator • Creativepreneur • a Father •",http://duniamanji.net,61.5,4,53,64.3,,
nuruliu,"Mrs. Kim",,"3,112",755,"24 Dec 2009 03:36:30","119,875","03 Jul 2021 13:58:24",;,,42,16,27.5,60.6,,
vctrkmng,"VK 🇰🇵","North Korea","100,825",212,"07 Mar 2010 18:17:41","85,375","03 Jul 2021 12:36:41","further inquiries: 082112376151 (Claudia)",,27.5,7.5,20,79.4,,
