"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @FIRDANIZA2","@FIRDANIZA2 follows"
cnnbrk,"CNN Breaking News",Everywhere,"61,065,137",119,"02 Jan 2007 01:48:14","75,553","03 Jul 2021 11:06:59","Breaking news from CNN Digital. Now 61M strong. Check @cnn for all things CNN, breaking and more. Download the app for custom alerts: https://t.co/8bf79vV51N",http://cnn.com/,100,0,0,89.4,,
qatarairways,"Qatar Airways","Doha, Qatar","1,675,418",237,"29 Apr 2008 19:10:30","64,890","02 Jul 2021 10:06:56","Official account of #QatarAirways. Follow us for latest offers, news, and careers. For a formal response, visit https://t.co/43W8DbM1I0 or @QRSupport",https://bit.ly/FlyWithQR,98,0.5,7.5,78.2,,
bukugpu,"Gramedia Pustaka Utama 📕",Jakarta,"397,945","1,146","24 Feb 2009 03:50:31","80,630","02 Jul 2021 12:47:32","Akun resmi Penerbit Gramedia Pustaka Utama (GPU). Makin akrab bersama #bukugpu 👉🏻 http://bit.ly/newslettergpu 👈🏻",http://www.gpu.id,16.1,79.4,5,72.4,,
sherylsheinafia,"Sheryl Sheinafia","Jakarta Selatan, DKI Jakarta","245,994",868,"11 Apr 2009 05:43:47","14,217","30 Jun 2021 03:56:19","i like things that make me curious (all contact and information +6281229758305 - SS Management)",https://youtu.be/AoX_aoR68dU,38,4.5,47,67.1,,
LouisVuitton,"Louis Vuitton",,"8,049,019",5,"02 Jun 2009 08:22:48","6,582","01 Jul 2021 07:00:03","The official Twitter page for Louis Vuitton Worldwide.",http://www.louisvuitton.com,100,0,0,96,,
aimi_asi,AIMI,"ÜT: -7.3479734,112.7591641","93,711",70,"15 Jul 2009 15:25:10","180,907","30 Jun 2021 08:27:02","Asosiasi Ibu Menyusui Indonesia (Indonesian Breastfeeding Mothers' Association). Kontak WA konseling online (selama pandemi): 0812-9432-5526",https://aimi-asi.org,82.5,17,2,49.3,,
rajasaptaokto,Okto,Indonesia,"13,114",278,"31 Aug 2009 10:36:33","3,339","17 Jan 2021 10:26:38","President of NOC, ICF (PBISSI), Chairman Asian Paragames 2018, HIPMI, Entrepreneur, Cyclist, Diver, Sport n Music Promoter, International World Boxing Promoter",http://www.pbissi.id,61.1,18.1,3.1,23.9,,
DomuDAmbarita,"Domu D Ambarita","Jakarta Capital Region",730,476,"11 Oct 2009 14:49:59","28,796","02 Jul 2021 01:58:36",https://t.co/hUJEy9Zbbw,http://domu-ambarita.blogspot.com,0,0,0,21.6,,
FILM_Indonesia,FILM_Indonesia,"IG Vlog: @VideoSemenitHH","748,574","1,060","26 Dec 2009 07:30:34","87,318","01 Jul 2021 10:25:29","Acara Tahunan: @PIALAMAYA | Galeri: @KoleksiDVD | Created by: @Hafiz_Husni | Tetap cintai film Indonesia dulu, kini & nanti 🇮🇩",http://instagram.com/film_indonesia,39.1,58.9,1,57.6,,
basuki_btp,"Basuki T Purnama",Jakarta,"9,069,293",55,"18 Feb 2010 05:43:11","2,866","01 Jul 2021 10:00:11","akun ini dikelola oleh Tim BTP",http://bit.ly/panggilsayaBTP,64.3,29.6,2,81.4,,
