"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @FIRDANIZA2","@FIRDANIZA2 follows"
akbar_ibr,Akbar,"Jkt,Idn",253,266,"30 Mar 2013 08:56:21","3,192","24 Jun 2021 14:44:13",,,0,0,0,29.5,,
lkhhnnn,"sambatan hatimu",unknown,405,373,"21 Sep 2015 07:39:02","7,533","01 Jul 2021 06:31:40",,,0,0,0,46.4,,
aiskrimwallss,alfi,"Jawa Timur, Indonesia",214,186,"03 Feb 2019 11:24:32",320,"28 Jun 2021 11:40:01","dunia perbacotanku😃🌈",,0,0,0,36.5,,
paandahlou,"van🌸",,170,291,"05 Mar 2019 07:53:12",942,"01 Jul 2021 10:08:34","scorpio♏ walk on the wild side🎠 Suka baca au kapal homo, maaf kalau keganggu",,0,0,0,42.3,,
alyatsmr,ayee,,36,81,"25 Jun 2019 11:56:04",4,"01 Jan 1970 00:00:00",,,0,0,0,5.1,,
dinisucks,"phew — din.",belanda,21,101,"24 Aug 2019 00:17:30","2,484","01 Jan 1970 00:00:00","aku heartBROkkennnn.",http://momokurobo.co.id,0,0,0,17,,
aliaaagrem,aliaanjay,"West Java, Indonesia",18,60,"14 Oct 2019 02:49:08",140,"23 Apr 2020 13:09:59","Santuykeun weh dudeu hyrup mah",,0,0,0,1,,
jelIiecious,"ibu peri",,19,22,"23 Jan 2020 10:43:20","1,853","01 Jan 1970 00:00:00","90% misuh misuh, 5% nanya, 3% cerita mimpi, 2%dll",,0,0,0,21.6,,
tipatipuu,diary,,25,36,"26 Jan 2020 03:27:09",668,"01 Jan 1970 00:00:00","94% kehidupannya tentang cinta karena tidak pernah dicintai 6% gajelas",,0,0,0,23.9,,
Ceu_nayank,"ceu'nayank🌈",,16,101,"01 May 2020 09:58:13",16,"06 May 2021 13:24:01",sagitarian,,0,0,0,1,,
